ID,Value
moneyBag,100.0
moneyBag,25.0
moneyBag,50.0
moneyBag,100.0
moneyBag,25.0
moneyBag,25.0
moneyBag,25.0
moneyBag,25.0
moneyBag,100.0
moneyBag,200.0
moneyBag,200.0
moneyBag,750.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,200.0
moneyBag,200.0
moneyBag,500.0
moneyBag,750.0
moneyBag,500.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
walkTheDogPierce,
stringedYoyoNoPierce,
projectileReflect,
attackUpMaxLifeCap,
moneySpoilsUp,
petalContainer,
petalContainer,
petalContainer,
petalContainer,
petalContainer,
petalContainer,
petalContainer,
petalContainer,
petalContainer,
petalContainer,
petalContainer,
petalContainer,
bpContainer,
bpContainer,
bpContainer,
bpContainer,
bpContainer,
