ID,Value
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
petalContainer,
moneyBag,100.0
moneyBag,25.0
moneyBag,100.0
moneyBag,25.0
moneyBag,25.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
stringedYoyoSpeedDown,
moneyBag,100.0
moneyBag,100.0
g:ability:walkTheDog,
moneyBag,100.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
attackUp,
stringLengthUp,
moneyBag,100.0
moneyBag,100.0
moneyBag,100.0
petalContainer,
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,50.0
moneyBag,200.0
petalContainer,
moneyBag,200.0
